Crop,Soil_Type,Water_Requirement_mm,Yield_per_Acre_Qtl,Best_Harvest_Time,Recommended_Fertilizer,pH_Avg
Wheat,4,437,30,7,NPK (20-20-20),7.03
Wheat,4,454,30,7,NPK (20-20-20),6.55
Wheat,4,441,30,7,NPK (20-20-20),6.56
Wheat,4,441,30,7,NPK (20-20-20),6.52
Wheat,4,450,30,7,NPK (20-20-20),6.52
Rice,2,1187,25,10,Ammonium Sulfate,6.06
Rice,2,1187,25,10,Ammonium Sulfate,5.87
Rice,2,1187,25,10,Ammonium Sulfate,6.3
Rice,2,1199,25,10,Ammonium Sulfate,5.92
Rice,2,1194,25,10,Ammonium Sulfate,5.75
Sugarcane,5,1582,50,2,Superphosphate,6.69
Sugarcane,5,1590,50,2,Superphosphate,6.92
Sugarcane,5,1594,50,2,Superphosphate,6.46
Sugarcane,5,1607,50,2,Superphosphate,6.46
Sugarcane,5,1601,50,2,Superphosphate,7.05
Maize,4,592,22,1,Urea,6.43
Maize,4,613,22,1,Urea,6.51
Maize,4,588,22,1,Urea,6.21
Maize,4,585,22,1,Urea,6.47
Maize,4,581,22,1,Urea,6.18
Pulses,5,419,10,3,Potash,6.55
Pulses,5,380,10,3,Potash,6.99
Pulses,5,419,10,3,Potash,6.7
Pulses,5,419,10,3,Potash,6.61
Pulses,5,389,10,3,Potash,6.65
Mustard,4,305,15,4,Calcium Nitrate,6.72
Mustard,4,284,15,4,Calcium Nitrate,6.79
Mustard,4,290,15,4,Calcium Nitrate,6.99
Mustard,4,316,15,4,Calcium Nitrate,6.78
Mustard,4,283,15,4,Calcium Nitrate,6.86
Barley,6,343,28,7,NPK (15-15-15),6.61
Barley,6,339,28,7,NPK (15-15-15),6.54
Barley,6,335,28,7,NPK (15-15-15),6.53
Barley,6,337,28,7,NPK (15-15-15),6.66
Barley,6,351,28,7,NPK (15-15-15),6.36
Cotton,1,714,20,11,Potassium Sulfate,5.71
Cotton,1,710,20,11,Potassium Sulfate,5.76
Cotton,1,684,20,11,Potassium Sulfate,5.98
Cotton,1,704,20,11,Potassium Sulfate,6.04
Cotton,1,704,20,11,Potassium Sulfate,5.78
Soybean,3,498,18,9,Magnesium Sulfate,6.28
Soybean,3,483,18,9,Magnesium Sulfate,6.2
Soybean,3,493,18,9,Magnesium Sulfate,6.62
Soybean,3,502,18,9,Magnesium Sulfate,6.26
Soybean,3,495,18,9,Magnesium Sulfate,6.59
Groundnut,6,467,22,10,Potash,6.5
Groundnut,6,469,22,10,Potash,6.51
Groundnut,6,430,22,10,Potash,6.5
Groundnut,6,466,22,10,Potash,6.03
Groundnut,6,455,22,10,Potash,6.21
Tomato,4,596,40,8,Iron Chelate,5.94
Tomato,4,598,40,8,Iron Chelate,6.0
Tomato,4,596,40,8,Iron Chelate,6.04
Tomato,4,604,40,8,Iron Chelate,6.27
Tomato,4,620,40,8,Iron Chelate,6.1
Potato,5,516,45,0,Rock Phosphate,5.3
Potato,5,499,45,0,Rock Phosphate,5.57
Potato,5,516,45,0,Rock Phosphate,5.6
Potato,5,494,45,0,Rock Phosphate,5.41
Potato,5,500,45,0,Rock Phosphate,5.49
Onion,4,540,35,6,Micronutrient Mix,7.02
Onion,4,565,35,6,Micronutrient Mix,6.84
Onion,4,531,35,6,Micronutrient Mix,6.72
Onion,4,564,35,6,Micronutrient Mix,6.74
Onion,4,534,35,6,Micronutrient Mix,6.69
Garlic,4,419,30,8,Compost,6.86
Garlic,4,392,30,8,Compost,6.51
Garlic,4,381,30,8,Compost,7.03
Garlic,4,387,30,8,Compost,6.46
Garlic,4,399,30,8,Compost,6.46
Chili,6,435,25,5,Superphosphate,6.3
Chili,6,459,25,5,Superphosphate,6.45
Chili,6,466,25,5,Superphosphate,6.23
Chili,6,439,25,5,Superphosphate,6.26
Chili,6,447,25,5,Superphosphate,6.32
Pea,2,336,20,3,DAP (Diammonium Phosphate),6.88
Pea,2,352,20,3,DAP (Diammonium Phosphate),6.89
Pea,2,352,20,3,DAP (Diammonium Phosphate),6.86
Pea,2,338,20,3,DAP (Diammonium Phosphate),6.86
Pea,2,332,20,3,DAP (Diammonium Phosphate),6.73
Lentil,4,339,18,7,Biofertilizer,6.98
Lentil,4,304,18,7,Biofertilizer,6.97
Lentil,4,332,18,7,Biofertilizer,6.53
Lentil,4,324,18,7,Biofertilizer,6.59
Lentil,4,315,18,7,Biofertilizer,6.72
Banana,0,1207,100,11,Zinc Sulfate,6.27
Banana,0,1215,100,11,Zinc Sulfate,6.2
Banana,0,1195,100,11,Zinc Sulfate,6.49
